AlvaghCronin sanepolitico {'id': 7.63431270089159e+17, 'user_screen': 'AlvaghCronin', 'original_author': 'sanepolitico', 'user_location': 'Sinister Fringes North Kildare', 'user_id': 1706816420.0, 'created_at': 'Wed Aug 10 17:46:13 +0000 2016', 'favorite_count': 0, 'retweet_count': 7, 'user_following': False, 'user_followers': 4703, 'user_friends': 4093, 'user_statuses': 93990, 'tweet_text': 'RT @sanepolitico: The Clinton foundation shares executives etc with Teneo Consulting.'}
AlvaghCronin sanepolitico {'id': 7.63431266918232e+17, 'user_screen': 'AlvaghCronin', 'original_author': 'sanepolitico', 'user_location': 'Sinister Fringes North Kildare', 'user_id': 1706816420.0, 'created_at': 'Wed Aug 10 17:46:12 +0000 2016', 'favorite_count': 0, 'retweet_count': 7, 'user_following': False, 'user_followers': 4703, 'user_friends': 4093, 'user_statuses': 93990, 'tweet_text': "RT @sanepolitico: Denis O'Brien donates to the Clinton foundation."}
stevebartin toptc {'id': 7.63431275222839e+17, 'user_screen': 'stevebartin', 'original_author': 'toptc', 'user_location': nan, 'user_id': 18386792.0, 'created_at': 'Wed Aug 10 17:46:14 +0000 2016', 'favorite_count': 0, 'retweet_count': 2, 'user_following': False, 'user_followers': 1130, 'user_friends': 774, 'user_statuses': 62153, 'tweet_text': 'RT @toptc: What happens when you wear a pro-Trump T-shirt in this neighborhood? You get beaten with a crowbar @Followt96844528  https://t.câ€¦'}
rocksolidhorses hughhewitt {'id': 7.63431266158912e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'hughhewitt', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:46:12 +0000 2016', 'favorite_count': 0, 'retweet_count': 256, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': "RT @hughhewitt: Should b lead story of the AM: https://t.co/Q2zWG3y1KD. It isn't b/c of @realDonaldTrump gaffe. Crime/corruption overshadowâ€¦"}
rocksolidhorses jpodhoretz {'id': 7.63431524834218e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'jpodhoretz', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:47:14 +0000 2016', 'favorite_count': 0, 'retweet_count': 211, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': 'RT @jpodhoretz: Very good piece by @benshapiro about how Trump has no real idea what conservatives think or how we talk https://t.co/8M6zO5â€¦'}
rocksolidhorses benshapiro {'id': 7.63431670464651e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'benshapiro', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:47:48 +0000 2016', 'favorite_count': 0, 'retweet_count': 50, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': "RT @benshapiro: Of course he'd fold to Trump on a bad SCOTUS pick. He'll fold to Hillary if she's elected, and you justified it. https://t.â€¦"}
rocksolidhorses benshapiro {'id': 7.63432294442869e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'benshapiro', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:50:17 +0000 2016', 'favorite_count': 0, 'retweet_count': 151, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': "RT @benshapiro: .@hughhewitt calls into TMA and rightly says this Hillary pay-for-play is 1000x worse than Trump's gaffe. But you'll neverâ€¦"}
rocksolidhorses benshapiro {'id': 7.63432580611912e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'benshapiro', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:51:25 +0000 2016', 'favorite_count': 0, 'retweet_count': 155, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': "RT @benshapiro: The media want to distract from Hillary's sins. They will manufacture gaffes. But Trump has outsourced their gaffe manufactâ€¦"}
rocksolidhorses 538politics {'id': 7.63431946286314e+17, 'user_screen': 'rocksolidhorses', 'original_author': '538politics', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:48:54 +0000 2016', 'favorite_count': 0, 'retweet_count': 407, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': 'RT @538politics: Avg among African American voters in 4 latest live-interview polls:\n\nClinton: 86%\nStein: 5%\nJohnson: 4%\nTrump: 2%\n\nhttps:/â€¦'}
rocksolidhorses GroverNorquist {'id': 7.634320454396191e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'GroverNorquist', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:49:18 +0000 2016', 'favorite_count': 0, 'retweet_count': 37, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': 'RT @GroverNorquist: WashPost reviewed 36 surveys conducted since late June in  11 key Senate races. On average, GOP incumbent has outperforâ€¦'}
rocksolidhorses GroverNorquist {'id': 7.63432383806775e+17, 'user_screen': 'rocksolidhorses', 'original_author': 'GroverNorquist', 'user_location': 'Missoula, MT. ', 'user_id': 2340854960.0, 'created_at': 'Wed Aug 10 17:50:38 +0000 2016', 'favorite_count': 0, 'retweet_count': 79, 'user_following': False, 'user_followers': 88, 'user_friends': 90, 'user_statuses': 22802, 'tweet_text': 'RT @GroverNorquist: A Suffolk poll shows Clinton winning Florida by 6 points\nGOP Sen. Marco Rubio led his likely Democratic challenger by 1â€¦'}
